Student,ID,SIS User ID,SIS Login ID,Section,Quiz 1 (83544),Quiz 2 (72273),Quiz 3 (72274),Quiz 4 (72275),Quiz 5 (72276),Homework 1 (83535),Homework 2 (72278),Homework 3 (72279),Homework 4 (72280),Homework 5 (72281),Quizzes Current Score,Homework Assignments Current Score,Current Score,Current Grade
    Points Possible,,,,,15,20,20,20,20,15,20,20,20,20,(read only),(read only),(read only),(read only)
First Last,1909,384928,example@mail.umhb.edu,Course Title,9,12,0,15,7,12.5,20,18,19,16.25,45.26,90.26,77.82,C
First Last,1751,355670,example@mail.umhb.edu,Course Title,10,14,17,15,8,15,20,19.5,18.75,18,67.37,96.05,86.87,B
First Last,1442,391846,example@mail.umhb.edu,Course Title,6,14,19,14,0,15,20,19,19.5,20,55.79,98.42,84.58,B
First Last,1434,345636,example@mail.umhb.edu,Course Title,10,13,11,16,9,14.5,20,19.5,19.5,17.25,62.11,95.53,85.91,B
First Last,2306,382758,example@mail.umhb.edu,Course Title,12,17,13,17,13,15,19,20,19.5,18,75.79,96.32,90.28,A
First Last,2370,397828,example@mail.umhb.edu,Course Title,12,11,16,13,10,13.5,19,19.5,16.5,17.75,65.26,90.79,85.3,B
First Last,2065,369451,example@mail.umhb.edu,Course Title,11,11,10,12,8,12.5,20,18,19,16.25,54.74,90.26,80.98,B
First Last,1350,352060,example@mail.umhb.edu,Course Title,0,13,7,11,5,12.5,20,18,19,16.25,37.89,90.26,62.04,D
First Last,1822,384168,example@mail.umhb.edu,Course Title,9,18,16,15,17,14.25,20,18.75,18.75,19.25,78.95,95.79,90.53,A
First Last,2197,382264,example@mail.umhb.edu,Course Title,12,10,13,0,7,14.5,20,18,19,16.75,44.21,92.89,65.91,D
First Last,2324,393206,example@mail.umhb.edu,Course Title,8,15,9,9,13,15,20,19,19.5,20,56.84,98.42,84.93,B
First Last,1496,390310,example@mail.umhb.edu,Course Title,13,19,14,16,14,15,20,20,19.5,17.5,80,96.84,91.82,A
First Last,2262,331939,example@mail.umhb.edu,Course Title,13,20,19,18,12,13.75,20,19.5,17.75,16.25,86.32,91.84,92.06,A
First Last,2674,334244,example@mail.umhb.edu,Course Title,12,15,8,12,11,13.75,20,19.5,17.75,16.25,61.05,91.84,83.64,B
